Word,Total Occurrences
בית_ספר,234
הקורונה,54
וד,54
מורים,53
תלמידים,49
הנוכחי,40
המורים,35
התלמידים,30
חרבות_ברזל,30
מרחוק,30
בני,29
מקוונת,25
בן,20
בחן,19
עצמית,18
מגפת,17
הנוער,16
הורים,16
נוער,16
מטרות,15
טל,15
דיגיטלית,15
מקצועי,15
אסטרטגיות,14
פעולה,14
מיומנויות,14
המלחמה,14
צוותי,14
מבוססת,14
החינוכי,13
תהליכי,13
פערים,13
ענת,13
תרבות,13
מדינות,13
מידת,12
התייחסות,12
במדינות,12
בעולם,12
מטרת,12
לאורך,12
דרכי,12
חוסר,12
בעלי,12
מתמקדת,12
אוריינות,12
בנוסף,11
הרגשי,11
מיכל,11
לשיפור,11
בפני,11
ללמוד,11
הישגי,11
יעל,10
מתבגרים,10
תלמידי,10
מעורבות,10
בהקשר,10
מקצועית,10
חברתית,10
ליאת,10
ספרית,10
דנה,10
מירי,10
קבוצת,10
הלומדים,10
רגשית,10
לספק,10
החלטות,10
בחינת,10
רמת,10
אורלי,10
בכיתות,9
אנשי,9
מלחמת,9
חירום,9
טלי,9
ספרות,9
חינוכית,9
דוגמאות,9
גורמי,9
ההתמודדות,9
המידע,9
לבדוק,9
ההתערבות,9
שלומות,9
יסודיים,9
ברק,9
טכנולוגיה,9
מצבם,8
משאבים,8
דתי,8
הספרות,8
ביחס,8
אוכלוסיות,8
מור,8
התערבות,8
הילה,8
כיתות,8
בגיל,8
גני_ילדים,8
תמר,8
קבלת,8
נערך,7
התמקד,7
אודט,7
להכשרת,7
שינוי,7
המורה,7
הבדלים,7
מגוון,7
הנוכחית,7
לתת,7
תכנון,7
אוכלוסייה,7
רותם,7
עדי,7
שלהלן,7
הנפשית,7
הממלכתי,7
מקורות,7
המקוונת,7
שתי,7
לסייע,7
עקרונות,7
הבלתי,7
חברתיים,7
בלאו,7
הוראת,7
המקצועי,7
העקרונות,7
המדינות,7
נוי,7
לילך,6
ענבל,6
חינוכיות,6
רות,6
ההורים,6
שירי,6
סוג,6
סמך,6
שיפור,6
לקראת,6
החינוכיים,6
דגש,6
לטיפוח,6
בארץ,6
ובעולם,6
מתמקד,6
חברתיות,6
החינוכית,6
הברית,6
ארבע,6
פיש,6
חשיפה,6
נפשית,6
מצוקה,6
תמי,6
אישיים,6
המשבר,6
פדגוגיות,6
הערכת,6
שבין,6
דוד,6
מדינה,6
אולם,6
לפעול,6
הישגים,6
מבקש,6
חיים,6
מבוסס,6
נוספת,6
שירה,6
הקשיים,6
שמטרתם,6
להוראת,6
בפועל,6
עיצוב,6
מסגרות,5
הצוות,5
עדו,5
ואסף,5
רחב,5
הביניים,5
פרקטיקות,5
לביא,5
כלומר,5
חקר,5
שלוש,5
תחושת,5
שלושת,5
גדעון,5
עבודת,5
בחינה,5
הפוטנציאל,5
רגשיים,5
יוסי,5
הראל,5
מקיף,5
רווחה,5
ספרי,5
בהשוואה,5
איכות,5
שרון,5
שפירא,5
השפעת,5
יהודית,5
נעמה,5
שמיר,5
התמודדו,5
המחקרית,5
מקצועיים,5
זיו,5
שלושה,5
פדגוגיים,5
מיטבי,5
חן,5
וממצאי,5
הנוגעים,5
ברוך,5
מיפוי,5
העולם,5
הקשורות,5
אורית,5
אדם,5
עדכני,5
משולב,5
ביקש,5
בריטניה,5
הרשקוביץ,5
בדגש,5
גיל,5
